# t	p	dpdt	w	dwdt	ctrl	T	V
10.1233	0.0412351	0.0606245	-2.89648	1.0474	10	0.893901	196.033
10.1568	0.0403722	-0.112253	-2.84656	1.92954	0	1.30805	196.04
10.1903	0.0374045	-0.0658699	-2.78572	1.7121	0	1.20481	196.063
10.2238	0.0359362	-0.021926	-2.73179	1.50325	0	1.11592	196.073
10.2574	0.0359242	0.0212049	-2.68473	1.29726	0	1.04005	196.073
10.2909	0.0373603	0.0649648	-2.64481	1.08925	10	0.977616	196.063
10.3245	0.0365563	-0.112986	-2.59307	1.99062	0	1.40801	196.069
10.358	0.0334818	-0.0710801	-2.52976	1.78922	0	1.30282	196.09
10.3915	0.0317612	-0.0320532	-2.47308	1.59828	0	1.21043	196.101
10.4249	0.0313213	0.00566194	-2.42274	1.41212	0	1.12903	196.104
10.4586	0.032151	0.0438285	-2.37838	1.22404	10	1.05774	196.099
10.492	0.0305396	-0.140425	-2.32195	2.14785	0	1.52861	196.109
10.5257	0.0264081	-0.106232	-2.25273	1.97426	0	1.41796	196.132
10.5593	0.0233517	-0.0763402	-2.1891	1.81626	0	1.31815	196.147
10.5928	0.0212464	-0.0495617	-2.13064	1.66959	0	1.22678	196.156
10.6264	0.0200017	-0.0247388	-2.07687	1.52991	0	1.14211	196.161
10.66	0.0195719	-0.000981004	-2.02785	1.39423	0	1.06368	196.162
10.6935	0.0199362	0.0227616	-1.98333	1.25856	0	0.990926	196.161
10.727	0.0211066	0.0473682	-1.94349	1.11986	0	0.924317	196.156
10.7606	0.0231375	0.0739621	-1.9083	0.973806	0	0.86429	196.147
10.7942	0.0261139	0.103591	-1.87815	0.816685	10	0.812437	196.133
10.8277	0.0263937	-0.0868122	-1.83499	1.76306	0	1.17297	196.132
10.8613	0.0239943	-0.0565438	-1.77848	1.60369	0	1.08387	196.144
10.8948	0.0225713	-0.0285963	-1.72724	1.4528	0	1.00289	196.15
10.9285	0.0220631	-0.00170688	-1.68083	1.30557	0	0.928594	196.152
10.962	0.0224509	0.0249592	-1.63957	1.15942	0	0.861299	196.151
10.9954	0.0237463	0.0526508	-1.60323	1.00952	0	0.800797	196.145
11.029	0.0260067	0.0825158	-1.57198	0.851658	10	0.748021	196.134
11.0626	0.0255614	-0.109133	-1.5274	1.80349	0	1.12099	196.136
11.0962	0.0223871	-0.0802984	-1.46939	1.64927	0	1.03093	196.151
11.1297	0.0201308	-0.0547971	-1.41652	1.5073	0	0.949279	196.16
11.1633	0.0186871	-0.0314542	-1.36816	1.37304	0	0.87405	196.166
